include_covariates,include_motif_information,k_motifs,no_points_after_motif,RMSE,WAPE,MAE,MAPE
True,0,1,1,0.0030792134,0.032550316,0.0016162964,0.03535537
True,0,1,3,0.0027186733,0.031425856,0.0015604609,0.0357709
True,0,1,5,0.0031093024,0.03380473,0.0016785846,0.03765573
True,0,2,1,0.0036472613,0.031248642,0.0015516612,0.034566067
True,0,2,3,0.0038322057,0.03525455,0.0017505758,0.03462369
True,0,2,5,0.0035445855,0.036898006,0.0018321822,0.039492898
True,0,3,1,0.0028303408,0.032890644,0.0016331953,0.03613607
True,0,3,3,0.0034522233,0.035875537,0.0017814111,0.038558953
True,0,3,5,0.0027177609,0.030918231,0.0015352545,0.033542648
True,1,1,1,0.0039850636,0.039376915,0.001955273,0.03996053
True,1,1,3,0.0038190302,0.040293485,0.0020007857,0.040963355
True,1,1,5,0.005443579,0.051816847,0.0025729819,0.050737794
True,1,2,1,0.004163683,0.038570806,0.0019152457,0.04135289
True,1,2,3,0.0043938654,0.045791093,0.0022737712,0.04564895
True,1,2,5,0.0060545397,0.05163815,0.0025641085,0.04852157
True,1,3,1,0.0030171347,0.035221394,0.0017489294,0.037958726
True,1,3,3,0.0037025532,0.03959217,0.0019659617,0.04050303
True,1,3,5,0.0061766664,0.052735146,0.0026185804,0.05007052
True,2,1,1,0.0033361781,0.036302455,0.0018026098,0.0387612
True,2,1,3,0.0040398967,0.040960114,0.0020338874,0.041285485
True,2,1,5,0.005144823,0.050826788,0.0025238204,0.050559666
True,2,2,1,0.0032749395,0.03726857,0.0018505827,0.040828478
True,2,2,3,0.0052116625,0.0487077,0.0024185963,0.046687424
True,2,2,5,0.006254216,0.05637125,0.0027991324,0.056483135
True,2,3,1,0.0040126196,0.040947445,0.0020332583,0.04306275
True,2,3,3,0.006300216,0.055469226,0.002754342,0.04999947
True,2,3,5,0.008002671,0.06478557,0.003216948,0.0617621
True,3,1,1,0.004189443,0.0408566,0.0020287475,0.041268174
True,3,1,3,0.005385512,0.048050173,0.0023859465,0.045047347
True,3,1,5,0.0056473436,0.051648274,0.0025646114,0.048994444
True,3,2,1,0.0039949925,0.038996242,0.0019363706,0.042086136
True,3,2,3,0.0044842428,0.04358956,0.0021644533,0.04631449
True,3,2,5,0.005338863,0.048172053,0.0023919984,0.048667
True,3,3,1,0.0033870358,0.03664754,0.0018197452,0.039610308
True,3,3,3,0.0049965563,0.041634236,0.002067361,0.043821555
True,3,3,5,0.0046911947,0.045869276,0.0022776534,0.046660833
True,4,1,1,0.004087059,0.041950896,0.002083085,0.045153424
True,4,1,3,0.0055708927,0.056069843,0.0027841658,0.05964968
True,4,1,5,0.0058642533,0.059075274,0.0029334014,0.06453249
True,4,2,1,0.003908752,0.036791682,0.0018269026,0.03800999
True,4,2,3,0.0044122566,0.043807402,0.0021752703,0.04902063
True,4,2,5,0.006555041,0.05324166,0.0026437314,0.055946868
True,4,3,1,0.004225622,0.03898652,0.0019358878,0.040098805
True,4,3,3,0.004245285,0.04201096,0.0020860676,0.04371974
True,4,3,5,0.0051985267,0.048829105,0.0024246247,0.049109966
False,0,1,1,0.00085144443,0.013163703,0.0006536478,0.021328252
False,0,1,3,0.0008255156,0.012994842,0.00064526295,0.021221505
False,0,1,5,0.0008805719,0.013558969,0.0006732749,0.021332953
False,0,2,1,0.00079764245,0.012286415,0.00061008584,0.019537963
False,0,2,3,0.00088938954,0.013596476,0.00067513733,0.021976303
False,0,2,5,0.0008392184,0.0128767295,0.00063939806,0.021843562
False,0,3,1,0.0008420432,0.0129831275,0.0006446813,0.020645913
False,0,3,3,0.0007864182,0.012496643,0.00062052475,0.021454265
False,0,3,5,0.00087556127,0.013408242,0.0006657905,0.021178363
False,1,1,1,0.0017254213,0.02016877,0.0010014867,0.02577241
False,1,1,3,0.0031871907,0.03217888,0.0015978523,0.034828346
False,1,1,5,0.0045366096,0.039341293,0.0019535043,0.039677642
False,1,2,1,0.001746754,0.020438889,0.0010148996,0.026214248
False,1,2,3,0.0032710189,0.032224882,0.0016001367,0.036367983
False,1,2,5,0.00402227,0.036855962,0.0018300944,0.039436113
False,1,3,1,0.0020840084,0.022269681,0.0011058081,0.027803212
False,1,3,3,0.0028963515,0.030776411,0.0015282125,0.034507275
False,1,3,5,0.0040769293,0.037953723,0.0018846041,0.03849366
False,2,1,1,0.0017009175,0.021109717,0.0010482096,0.028069057
False,2,1,3,0.0028770017,0.031903803,0.0015841936,0.035704568
False,2,1,5,0.0037194595,0.035494655,0.0017624984,0.03792976
False,2,2,1,0.0022409528,0.025251828,0.0012538875,0.032259714
False,2,2,3,0.0030542684,0.035952825,0.001785249,0.040754005
False,2,2,5,0.0050470387,0.046624165,0.0023151375,0.04822697
False,2,3,1,0.0030928082,0.030952252,0.0015369438,0.034837905
False,2,3,3,0.005123074,0.045284525,0.0022486174,0.043886844
False,2,3,5,0.0064971517,0.054716583,0.0027169692,0.05196522
False,3,1,1,0.0019249145,0.02032941,0.0010094633,0.026800243
False,3,1,3,0.003078367,0.031250663,0.0015517616,0.03505857
False,3,1,5,0.0037277914,0.036304943,0.0018027335,0.03707461
