include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,139.857,0.094442256,52.898056,inf,36.19168710708618,270.85342812538147
True,True,1,1,1,True,False,139.50409,0.09398562,52.64229,inf,37.24313998222351,258.905965089798
True,True,1,1,1,False,True,141.30835,0.095551126,53.519142,inf,40.383315086364746,265.9370460510254
True,True,1,1,1,False,False,138.73001,0.093408026,52.31877,inf,35.94503998756409,255.7779688835144
True,True,1,1,2,True,True,136.31456,0.094532736,52.948734,inf,36.65527105331421,291.5492341518402
True,True,1,1,2,True,False,133.33104,0.09299647,52.088253,inf,50.843055963516235,291.9105758666992
True,True,1,1,2,False,True,135.54303,0.09437389,52.859764,inf,52.821566343307495,285.39942812919617
True,True,1,1,2,False,False,137.10059,0.09398538,52.642155,inf,38.72123074531555,260.7631359100342
True,True,1,1,6,True,True,133.67888,0.09359351,52.42266,inf,39.746469020843506,295.04918575286865
True,True,1,1,6,True,False,131.74416,0.09172412,51.3756,inf,37.427743911743164,305.3567407131195
True,True,1,1,6,False,True,140.03363,0.09454705,52.95675,inf,53.37405323982239,498.94930815696716
True,True,1,1,6,False,False,142.68031,0.094468825,52.912937,inf,55.014142990112305,345.3242440223694
True,True,1,1,12,True,True,132.2495,0.092498936,51.80958,inf,51.92844867706299,382.72122287750244
True,True,1,1,12,True,False,132.82445,0.09366029,52.460068,inf,37.55979585647583,290.72584795951843
True,True,1,1,12,False,True,129.89807,0.090410195,50.639656,inf,37.170098304748535,325.1708631515503
True,True,1,1,12,False,False,133.24118,0.09068268,50.79228,inf,43.00469613075256,368.0258159637451
True,True,1,1,24,True,True,128.6787,0.09182066,51.429672,inf,43.45450496673584,334.5185511112213
True,True,1,1,24,True,False,127.294365,0.09084914,50.885513,inf,37.80542778968811,305.13107776641846
True,True,1,1,24,False,True,124.21507,0.08880276,49.73932,inf,36.71742582321167,296.6605079174042
True,True,1,1,24,False,False,123.59099,0.08856437,49.605793,inf,36.243906021118164,291.73925137519836
False,True,1,1,1,True,True,147.13062,0.10666502,59.74415,inf,35.76582312583923,218.85577607154846
False,True,1,1,1,True,False,138.1439,0.10389661,58.19353,inf,198.28569173812866,1303.796172618866
False,True,1,1,1,False,True,147.392,0.106281236,59.529186,inf,34.68245506286621,214.17362308502197
False,True,1,1,1,False,False,140.03853,0.10449092,58.526413,inf,34.796300172805786,234.12199807167053
False,True,1,1,2,True,True,144.08658,0.105597004,59.14594,inf,39.05702209472656,245.46140909194946
False,True,1,1,2,True,False,139.60674,0.1048225,58.71213,inf,37.959776878356934,235.18838500976562
False,True,1,1,2,False,True,146.42513,0.10520898,58.928604,inf,38.58830189704895,235.360533952713
False,True,1,1,2,False,False,140.94092,0.10453758,58.552547,inf,36.10081100463867,226.29092693328857
False,True,1,1,6,True,True,144.00502,0.10509666,58.865696,inf,38.29710412025452,251.48482823371887
False,True,1,1,6,True,False,146.71495,0.105588585,59.141224,inf,38.367268800735474,245.9560980796814
False,True,1,1,6,False,True,148.97412,0.105979666,59.36027,inf,39.72061204910278,249.00794100761414
False,True,1,1,6,False,False,146.26909,0.104766585,58.680813,inf,38.068034172058105,243.66762018203735
False,True,1,1,12,True,True,146.61278,0.10470495,58.64629,inf,38.77352595329285,286.1549470424652
False,True,1,1,12,True,False,146.35878,0.104418635,58.485928,inf,41.333301067352295,265.4655182361603
False,True,1,1,12,False,True,144.81271,0.10274453,57.54824,inf,38.72571277618408,254.78289985656738
False,True,1,1,12,False,False,141.40752,0.101472326,56.835667,inf,37.550676345825195,256.6660113334656
False,True,1,1,24,True,True,146.16501,0.101788014,57.01249,inf,51.4010009765625,376.7878682613373
False,True,1,1,24,True,False,152.53531,0.10307299,57.732216,inf,45.99197793006897,319.00852489471436
False,True,1,1,24,False,True,138.35403,0.099929646,55.9716,inf,43.16891288757324,313.98268699645996
False,True,1,1,24,False,False,142.03458,0.10080935,56.46433,inf,44.18627381324768,294.1044068336487
