include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,0.019591821,0.015738314,0.01176406,0.0474117,1.1019368171691895,7.566298961639404
True,True,2,1,1,True,False,0.01950821,0.015675945,0.01171744,0.047330268,0.8174610137939453,7.617035150527954
True,True,2,1,1,False,True,0.019591821,0.015738314,0.01176406,0.0474117,1.0776896476745605,7.494920969009399
True,True,2,1,1,False,False,0.01950821,0.015675945,0.01171744,0.047330268,0.9204511642456055,7.58048415184021
True,True,2,1,2,True,True,0.019586306,0.015783185,0.0117975995,0.04739415,1.053584098815918,6.6684043407440186
True,True,2,1,2,True,False,0.019600686,0.015738225,0.011763993,0.047399048,0.9894571304321289,6.883830785751343
True,True,2,1,2,False,True,0.01958675,0.015782895,0.011797382,0.047361262,0.885023832321167,7.6065027713775635
True,True,2,1,2,False,False,0.019600498,0.01573802,0.011763839,0.047421142,0.979032039642334,7.730238914489746
True,True,2,1,6,True,True,0.01957935,0.0157275,0.011755975,0.047222327,0.8638489246368408,7.424867153167725
True,True,2,1,6,True,False,0.01953598,0.01570569,0.011739673,0.047240295,0.794774055480957,6.893289089202881
True,True,2,1,6,False,True,0.019579232,0.015727011,0.011755612,0.04723733,0.7675631046295166,6.907793998718262
True,True,2,1,6,False,False,0.019536551,0.015704932,0.011739107,0.04725275,0.8330590724945068,7.506773948669434
True,True,2,1,12,True,True,0.019548774,0.015790176,0.011802824,0.047605176,0.8270483016967773,7.533255338668823
True,True,2,1,12,True,False,0.019560719,0.01573032,0.0117580835,0.047475506,0.9770050048828125,7.501361131668091
True,True,2,1,12,False,True,0.019548964,0.015790872,0.011803347,0.04762636,0.7908000946044922,8.005190134048462
True,True,2,1,12,False,False,0.019562352,0.015731396,0.011758889,0.047495104,1.3550281524658203,10.316978931427002
True,True,2,1,24,True,True,0.019599536,0.015720408,0.011750675,0.047107287,0.95772385597229,9.807929754257202
True,True,2,1,24,True,False,0.01955699,0.015718449,0.011749211,0.047173828,0.8680019378662109,9.080631017684937
True,True,2,1,24,False,True,0.019599967,0.015720328,0.011750616,0.047143333,0.8231909275054932,10.239927053451538
True,True,2,1,24,False,False,0.019558426,0.015719483,0.011749984,0.047168773,0.8500990867614746,9.617920160293579
False,True,2,1,1,True,True,0.019616101,0.015719442,0.011749953,0.047189422,0.8273169994354248,6.315881967544556
False,True,2,1,1,True,False,0.019588655,0.01572581,0.011754713,0.04756757,0.9235503673553467,9.479613304138184
False,True,2,1,1,False,True,0.019616075,0.015719451,0.01174996,0.047189426,0.9044060707092285,6.448706150054932
False,True,2,1,1,False,False,0.019588023,0.015724324,0.011753603,0.047583416,0.8911359310150146,8.012645959854126
False,True,2,1,2,True,True,0.019608365,0.015688423,0.011726767,0.047219645,0.946429967880249,8.817641973495483
False,True,2,1,2,True,False,0.019612052,0.015709024,0.011742166,0.047176685,0.8917598724365234,7.880506753921509
False,True,2,1,2,False,True,0.019608289,0.015686978,0.011725687,0.047217924,0.8167238235473633,8.54646611213684
False,True,2,1,2,False,False,0.019612242,0.015709225,0.011742316,0.047205396,0.9840121269226074,7.998606204986572
False,True,2,1,6,True,True,0.019634191,0.015727436,0.0117559275,0.04736455,0.9669561386108398,9.048233985900879
False,True,2,1,6,True,False,0.019539954,0.01565319,0.01170043,0.047171377,1.1693041324615479,11.423134088516235
False,True,2,1,6,False,True,0.01963403,0.01572668,0.011755364,0.04737865,0.9349749088287354,6.8941969871521
False,True,2,1,6,False,False,0.01954087,0.01565419,0.011701179,0.047211174,0.7825579643249512,8.016051054000854
False,True,2,1,12,True,True,0.019664384,0.015810318,0.011817881,0.047240473,1.860313892364502,11.360236883163452
False,True,2,1,12,True,False,0.019605802,0.015708286,0.011741615,0.047331706,1.0240039825439453,8.715336084365845
False,True,2,1,12,False,True,0.019663012,0.015807783,0.011815987,0.047269225,0.8638119697570801,7.057720899581909
False,True,2,1,12,False,False,0.019605225,0.01570913,0.0117422445,0.04737516,0.8453450202941895,7.410604953765869
False,True,2,1,24,True,True,0.019594828,0.015722394,0.011752159,0.047199983,1.104712963104248,9.906199932098389
False,True,2,1,24,True,False,0.019624047,0.015727684,0.011756114,0.047225125,1.0086567401885986,9.857626914978027
False,True,2,1,24,False,True,0.019591969,0.015721286,0.011751331,0.047250085,0.9720101356506348,8.734031200408936
False,True,2,1,24,False,False,0.01961833,0.015724711,0.011753891,0.04717095,0.9066131114959717,9.398677110671997
