include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,5.1913996,0.047983956,2.7959585,0.068341196,42.82961106300354,169.577871799469
True,True,1,1,1,True,False,5.193112,0.04802336,2.7982545,0.0685058,42.52158784866333,163.26245880126953
True,True,1,1,1,False,True,5.18155,0.047874242,2.7895656,0.06815195,42.75803279876709,169.5714659690857
True,True,1,1,1,False,False,5.180946,0.047892805,2.790647,0.06826229,42.39874887466431,167.39595794677734
True,True,1,1,5,True,True,5.1749325,0.047829494,2.7869582,0.068024784,42.85199785232544,177.39221906661987
True,True,1,1,5,True,False,5.1853266,0.047953617,2.7941906,0.06832334,42.41323518753052,184.48518300056458
True,True,1,1,5,False,True,5.157636,0.04767389,2.7778914,0.067850105,43.36099314689636,175.1515781879425
True,True,1,1,5,False,False,5.165209,0.04773246,2.7813041,0.06792612,41.93461203575134,177.29802918434143
True,True,1,1,9,True,True,5.1769414,0.04785179,2.7882574,0.06812834,42.45054507255554,188.48653388023376
True,True,1,1,9,True,False,5.1815453,0.047896434,2.7908585,0.06815424,43.108959913253784,186.39235496520996
True,True,1,1,9,False,True,5.155705,0.04767961,2.7782247,0.067767695,42.66817831993103,186.69797039031982
True,True,1,1,9,False,False,5.1625695,0.04769469,2.7791035,0.067805,40.763580083847046,180.86092114448547
False,True,1,1,1,True,True,5.604573,0.051231988,2.9852169,0.07397729,42.51952123641968,147.20542430877686
False,True,1,1,1,True,False,5.6102047,0.05120971,2.983919,0.07417496,42.122406005859375,146.60355687141418
False,True,1,1,1,False,True,5.596283,0.05113366,2.9794874,0.07374578,41.04663109779358,153.23455095291138
False,True,1,1,1,False,False,5.601617,0.051098306,2.9774275,0.07387774,40.60753417015076,143.99653315544128
False,True,1,1,5,True,True,5.5852146,0.050992403,2.9712565,0.07355859,42.003360986709595,161.05127811431885
False,True,1,1,5,True,False,5.6000323,0.051121052,2.9787526,0.07399262,41.18129897117615,156.62597608566284
False,True,1,1,5,False,True,5.5671763,0.05083464,2.962064,0.07320556,41.136905908584595,156.79004907608032
False,True,1,1,5,False,False,5.5839505,0.05095526,2.9690921,0.07352697,40.91196799278259,156.49197006225586
False,True,1,1,9,True,True,5.5807676,0.050959535,2.9693413,0.07351973,42.66720199584961,167.2286868095398
False,True,1,1,9,True,False,5.5955915,0.051082842,2.9765263,0.07391478,42.371705055236816,167.24012804031372
False,True,1,1,9,False,True,5.556815,0.050753023,2.957308,0.07303161,42.80315899848938,168.25743007659912
False,True,1,1,9,False,False,5.5749125,0.050877847,2.9645815,0.07334542,42.90536069869995,162.72149181365967
