include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,0.015334084,0.11499544,0.0062097297,0.12800166,13.83070969581604,501.55039286613464
True,True,2,1,1,True,False,0.014316841,0.11023485,0.0059526586,0.1260638,13.80703592300415,501.0843322277069
True,True,2,1,1,False,True,0.0150189,0.11332562,0.0061195595,0.1327412,13.501612186431885,502.7823841571808
True,True,2,1,1,False,False,0.014330453,0.111839026,0.0060392837,0.12850606,13.273229837417603,493.0048658847809
True,True,2,1,2,True,True,0.015136818,0.11537073,0.006229995,0.1297326,13.844929933547974,489.9502372741699
True,True,2,1,2,True,False,0.014230511,0.11007041,0.005943779,0.12757152,13.78583288192749,495.93069100379944
True,True,2,1,2,False,True,0.015536725,0.11584907,0.0062558255,0.13064176,13.455127000808716,487.09952306747437
True,True,2,1,2,False,False,0.015295268,0.11515735,0.006218473,0.13064046,13.077883005142212,501.2932069301605
True,True,2,1,6,True,True,0.017382788,0.120390706,0.0065010726,0.12660784,13.576693058013916,533.8285100460052
True,True,2,1,6,True,False,0.01767985,0.12038202,0.0065006036,0.1301597,13.987757205963135,508.660010099411
True,True,2,1,6,False,True,0.017215382,0.11978766,0.0064685084,0.12137264,13.418678998947144,545.3537411689758
True,True,2,1,6,False,False,0.016713543,0.11851327,0.0063996916,0.12902232,13.23559284210205,543.8439967632294
True,True,2,1,12,True,True,0.018559419,0.11933781,0.0064442167,0.12479476,15.275042057037354,627.4687700271606
True,True,2,1,12,True,False,0.019827925,0.1241523,0.006704198,0.12866712,14.759116172790527,601.2411682605743
True,True,2,1,12,False,True,0.016564509,0.11144655,0.00601809,0.114877835,14.165040969848633,652.8419849872589
True,True,2,1,12,False,False,0.01866391,0.12138043,0.006554518,0.12909342,14.583481788635254,599.6217317581177
True,True,2,1,24,True,True,0.0176445,0.10489524,0.0056643207,0.11397545,15.234445095062256,721.8579862117767
True,True,2,1,24,True,False,0.020247765,0.11956889,0.006456695,0.12648803,15.138607740402222,687.5568099021912
True,True,2,1,24,False,True,0.013949812,0.08713376,0.0047052046,0.09873248,14.749623775482178,741.1846060752869
True,True,2,1,24,False,False,0.019263871,0.11777072,0.006359594,0.12213721,14.186187028884888,712.312301158905
False,True,2,1,1,True,True,0.013733276,0.11560528,0.006242661,0.13782214,13.623653888702393,442.33258867263794
False,True,2,1,1,True,False,0.012102237,0.10834437,0.005850573,0.13155046,13.727409839630127,414.4542100429535
False,True,2,1,1,False,True,0.014263898,0.118145466,0.00637983,0.13914973,13.460715055465698,449.9886338710785
False,True,2,1,1,False,False,0.012855487,0.11233103,0.006065852,0.13699237,13.247027158737183,443.4949929714203
False,True,2,1,2,True,True,0.0135601945,0.115755394,0.006250767,0.13875395,14.042927980422974,462.6621661186218
False,True,2,1,2,True,False,0.012700454,0.10992275,0.0059358054,0.13257185,14.018556833267212,443.2667911052704
False,True,2,1,2,False,True,0.014637536,0.11997023,0.0064783674,0.13521212,13.56329083442688,465.24186873435974
False,True,2,1,2,False,False,0.013577428,0.115520574,0.0062380866,0.13544951,13.766789197921753,461.07480692863464
False,True,2,1,6,True,True,0.01697851,0.12675479,0.006844732,0.13792711,22.64474391937256,540.9039471149445
False,True,2,1,6,True,False,0.016089138,0.12325872,0.006655945,0.13925718,13.677491903305054,488.0542891025543
False,True,2,1,6,False,True,0.01596799,0.11288264,0.0060956385,0.11744545,13.570143938064575,528.2508211135864
False,True,2,1,6,False,False,0.01544804,0.112293206,0.0060638096,0.11926121,14.29982590675354,496.55335092544556
False,True,2,1,12,True,True,0.01853303,0.11668874,0.0063011674,0.11929414,14.683908939361572,558.6840970516205
False,True,2,1,12,True,False,0.01891723,0.1194137,0.006448315,0.12568262,14.470008134841919,498.3350291252136
False,True,2,1,12,False,True,0.015793793,0.10319402,0.0055724555,0.10683689,14.160931825637817,565.2596800327301
False,True,2,1,12,False,False,0.017234122,0.111367956,0.006013846,0.11422904,17.366357803344727,536.9947228431702
False,True,2,1,24,True,True,0.017666668,0.09944855,0.0053702006,0.10702487,16.74690294265747,625.7128303050995
False,True,2,1,24,True,False,0.020020979,0.114023425,0.006157241,0.116270974,15.543290138244629,649.5901551246643
False,True,2,1,24,False,True,0.01379488,0.076899044,0.004152532,0.08497752,16.98207998275757,723.9255061149597
False,True,2,1,24,False,False,0.018154703,0.10174917,0.0054944335,0.10512458,17.012871980667114,688.4096298217773
