include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,139.857,0.094442256,52.898056,inf,35.47546696662903,243.12370896339417
True,True,2,1,1,True,False,139.50409,0.09398562,52.64229,inf,35.370944023132324,241.4232120513916
True,True,2,1,1,False,True,135.59335,0.09354927,52.397884,inf,35.37705087661743,258.74678802490234
True,True,2,1,1,False,False,137.38298,0.09397053,52.63384,inf,35.22658395767212,251.1352391242981
True,True,2,1,2,True,True,140.792,0.095139384,53.288525,inf,35.7383291721344,245.35328197479248
True,True,2,1,2,True,False,135.74632,0.09336426,52.294262,inf,35.509098052978516,244.36471915245056
True,True,2,1,2,False,True,137.55305,0.09358994,52.420662,inf,35.213622093200684,241.1445119380951
True,True,2,1,2,False,False,135.25931,0.09342525,52.328423,inf,34.835676193237305,241.8897190093994
True,True,2,1,6,True,True,138.31413,0.09461318,52.993793,inf,40.66535925865173,268.2734589576721
True,True,2,1,6,True,False,141.78912,0.09504744,53.237022,inf,36.16507697105408,257.6852180957794
True,True,2,1,6,False,True,140.1501,0.0944658,52.91124,inf,35.65971398353577,260.50381898880005
True,True,2,1,6,False,False,136.86029,0.09376572,52.519123,inf,35.02829694747925,252.4635968208313
True,True,2,1,12,True,True,137.39923,0.0940525,52.679752,inf,36.9012348651886,299.20448994636536
True,True,2,1,12,True,False,134.20158,0.09291635,52.043377,inf,36.50868797302246,282.0551550388336
True,True,2,1,12,False,True,135.99419,0.09239675,51.75235,inf,35.94910407066345,286.9752960205078
True,True,2,1,12,False,False,132.41928,0.09213573,51.606144,inf,35.85014820098877,276.8943841457367
True,True,2,1,24,True,True,134.74545,0.093134165,52.165382,inf,39.36649441719055,337.3110091686249
True,True,2,1,24,True,False,135.52864,0.09363671,52.446857,inf,37.9641969203949,318.6009609699249
True,True,2,1,24,False,True,130.80382,0.091417685,51.203964,inf,37.675554037094116,324.42444491386414
True,True,2,1,24,False,False,138.33653,0.09317961,52.190838,inf,36.405288219451904,319.5114071369171
False,True,2,1,1,True,True,147.13062,0.10666502,59.74415,inf,36.2263400554657,216.91802096366882
False,True,2,1,1,True,False,138.1439,0.10389661,58.19353,inf,34.99185800552368,209.64672589302063
False,True,2,1,1,False,True,145.0536,0.105512574,59.09865,inf,34.63071393966675,216.57152390480042
False,True,2,1,1,False,False,139.6219,0.10379444,58.13631,inf,34.72583508491516,214.28602719306946
False,True,2,1,2,True,True,141.87007,0.10491128,58.761864,inf,35.72813367843628,229.09553575515747
False,True,2,1,2,True,False,139.7324,0.10491242,58.7625,inf,35.280003786087036,215.5128049850464
False,True,2,1,2,False,True,145.31807,0.105373666,59.02085,inf,35.070743799209595,222.3390018939972
False,True,2,1,2,False,False,140.22064,0.10441156,58.48196,inf,34.848681926727295,218.59851384162903
False,True,2,1,6,True,True,146.7495,0.106360674,59.57368,inf,36.13467597961426,241.78602290153503
False,True,2,1,6,True,False,145.75737,0.10589997,59.315636,inf,36.00786876678467,237.58896589279175
False,True,2,1,6,False,True,143.06746,0.10364995,58.055378,inf,36.22796392440796,1280.1743030548096
False,True,2,1,6,False,False,142.8236,0.10421658,58.372753,inf,45.3937611579895,537.9015641212463
False,True,2,1,12,True,True,149.8224,0.10491181,58.76216,inf,85.25295495986938,635.9146828651428
False,True,2,1,12,True,False,152.8865,0.10581607,59.268642,inf,82.9040310382843,600.215576171875
False,True,2,1,12,False,True,143.00989,0.10274072,57.54611,inf,80.42294120788574,604.1370520591736
False,True,2,1,12,False,False,142.12758,0.10199906,57.1307,inf,69.46007704734802,573.5389740467072
False,True,2,1,24,True,True,146.65714,0.10279882,57.57865,inf,80.99261522293091,665.7094740867615
False,True,2,1,24,True,False,147.51859,0.10376398,58.11925,inf,70.64388298988342,644.8415112495422
False,True,2,1,24,False,True,144.74307,0.10167635,56.949947,inf,68.69973301887512,581.0583207607269
False,True,2,1,24,False,False,143.07162,0.101011515,56.57756,inf,63.75318384170532,610.1413900852203
