include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,13,2,9,False,True,5.1370068,0.047487367,2.767023,0.06745273,74.74936604499817,233.17493391036987
True,True,13,3,9,False,True,5.128072,0.047380097,2.7607725,0.06725965,94.28788375854492,321.5690550804138
True,True,15,2,9,False,True,5.1334586,0.0474407,2.7643037,0.06740045,77.71375393867493,243.51877999305725
True,True,15,3,9,False,True,5.127214,0.047380507,2.7607963,0.06722507,101.9771797657013,325.5378906726837
True,True,17,2,9,False,True,5.1274295,0.047398403,2.7618392,0.0673292,82.58477282524109,281.55429196357727
True,True,17,3,9,False,True,5.1155295,0.047272675,2.754513,0.067023896,93.21571683883667,355.5363619327545
False,True,13,2,9,False,True,5.536142,0.05055334,2.945673,0.072597325,76.35900282859802,234.74828004837036
False,True,13,3,9,False,True,5.529275,0.050500832,2.9426134,0.072431,101.92660617828369,280.17591524124146
False,True,15,2,9,False,True,5.533155,0.05051034,2.9431674,0.07253166,74.53640103340149,228.15233087539673
False,True,15,3,9,False,True,5.526866,0.050462782,2.940396,0.072387025,94.64084005355835,279.34412598609924
False,True,17,2,9,False,True,5.524973,0.050436646,2.9388733,0.07247434,76.42123699188232,268.42130517959595
False,True,17,3,9,False,True,5.5137606,0.05031554,2.9318166,0.07221263,95.94810390472412,316.0679249763489
