include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,5.1913996,0.047983956,2.7959585,0.068341196,45.046815156936646,184.81708526611328
True,True,1,1,1,True,False,5.193112,0.04802336,2.7982545,0.0685058,44.13537621498108,169.62063908576965
True,True,1,1,1,False,True,5.18155,0.047874242,2.7895656,0.06815195,44.003599882125854,174.51484489440918
True,True,1,1,1,False,False,5.180946,0.047892805,2.790647,0.06826229,48.533552169799805,185.66711330413818
True,True,1,1,2,True,True,5.181882,0.047897026,2.7908933,0.06818778,51.823638916015625,200.3673141002655
True,True,1,1,2,True,False,5.190992,0.047967948,2.7950258,0.068360336,43.93581485748291,178.0816810131073
True,True,1,1,2,False,True,5.173219,0.047816984,2.7862294,0.06804343,52.054168701171875,192.1310739517212
True,True,1,1,2,False,False,5.179538,0.047840048,2.787573,0.06806106,44.246816873550415,178.41476702690125
True,True,1,1,3,True,True,5.1787868,0.047843374,2.787767,0.06802479,44.20154595375061,182.56392192840576
True,True,1,1,3,True,False,5.1830864,0.047914207,2.7918942,0.06819654,44.77955985069275,194.1360559463501
True,True,1,1,3,False,True,5.165959,0.047712374,2.7801337,0.0678292,44.49759387969971,180.11296582221985
True,True,1,1,3,False,False,5.170622,0.04777398,2.7837236,0.067947395,43.09635615348816,185.03980422019958
True,True,1,1,5,True,True,5.1748943,0.047829263,2.7869446,0.0680227,47.78072500228882,194.19168210029602
True,True,1,1,5,True,False,5.1852183,0.047951255,2.794053,0.06831669,43.416224002838135,186.64154481887817
True,True,1,1,5,False,True,5.157636,0.04767389,2.7778914,0.067850105,45.83174204826355,190.3829860687256
True,True,1,1,5,False,False,5.165209,0.04773246,2.7813041,0.06792612,44.19135808944702,183.6792290210724
True,True,1,1,9,True,True,5.178022,0.047878277,2.7898006,0.06817169,43.72920227050781,209.0105631351471
True,True,1,1,9,True,False,5.182635,0.047893375,2.7906804,0.06818868,44.83733606338501,201.16331601142883
True,True,1,1,9,False,True,5.155705,0.04767961,2.7782247,0.067767695,44.51864695549011,229.16401410102844
True,True,1,1,9,False,False,5.1625695,0.04769469,2.7791035,0.067805,44.21256685256958,197.12101793289185
False,True,1,1,1,True,True,5.604573,0.051231988,2.9852169,0.07397729,46.47891688346863,157.56105589866638
False,True,1,1,1,True,False,5.6102047,0.05120971,2.983919,0.07417496,43.036930084228516,155.94507026672363
False,True,1,1,1,False,True,5.596283,0.05113366,2.9794874,0.07374578,43.924017906188965,164.641836643219
False,True,1,1,1,False,False,5.601617,0.051098306,2.9774275,0.07387774,48.643852949142456,161.09015488624573
False,True,1,1,2,True,True,5.596675,0.051131207,2.9793446,0.0737836,43.953683853149414,160.79093384742737
False,True,1,1,2,True,False,5.6056433,0.051168934,2.9815428,0.07407727,43.694676876068115,161.4397530555725
False,True,1,1,2,False,True,5.588194,0.051034156,2.9736893,0.07358483,46.707334995269775,158.3781201839447
False,True,1,1,2,False,False,5.596718,0.05106063,2.975232,0.07378065,43.11738705635071,157.60292387008667
False,True,1,1,3,True,True,5.5913763,0.051075373,2.9760911,0.073690504,44.007482290267944,161.1304202079773
False,True,1,1,3,True,False,5.6034617,0.051151093,2.980503,0.07404053,42.256612062454224,186.05047702789307
False,True,1,1,3,False,True,5.578704,0.050952982,2.9689596,0.073418744,50.144757986068726,172.17541885375977
False,True,1,1,3,False,False,5.590163,0.051002007,2.971816,0.07365564,43.89604878425598,169.52594184875488
False,True,1,1,5,True,True,5.5850706,0.050992467,2.9712603,0.073558964,46.67573881149292,180.84849286079407
False,True,1,1,5,True,False,5.6000304,0.051121064,2.9787533,0.07399262,48.67612910270691,172.54263186454773
False,True,1,1,5,False,True,5.5671763,0.05083464,2.962064,0.07320556,42.91024875640869,169.13872480392456
False,True,1,1,5,False,False,5.5839505,0.05095526,2.9690921,0.07352697,42.39815902709961,162.98561000823975
False,True,1,1,9,True,True,5.580785,0.05096041,2.9693925,0.07352101,51.27707505226135,239.68246793746948
False,True,1,1,9,True,False,5.5957465,0.05108416,2.976603,0.07391927,50.08576989173889,199.23060202598572
False,True,1,1,9,False,True,5.556815,0.050753023,2.957308,0.07303161,49.626856088638306,210.57401514053345
False,True,1,1,9,False,False,5.5749125,0.050877847,2.9645815,0.07334542,46.25120306015015,202.8995339870453
