include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,0.015334084,0.11499544,0.0062097297,0.12800166,14.701165914535522,503.97312593460083
True,True,2,1,1,True,False,0.014316841,0.11023485,0.0059526586,0.1260638,27.17511510848999,545.360520362854
True,True,2,1,1,False,True,0.0150189,0.11332562,0.0061195595,0.1327412,14.04538083076477,518.9396719932556
True,True,2,1,1,False,False,0.014330453,0.111839026,0.0060392837,0.12850606,14.255291938781738,553.347012758255
True,True,2,1,2,True,True,0.015136818,0.11537073,0.006229995,0.1297326,14.364660024642944,565.5490758419037
True,True,2,1,2,True,False,0.014230511,0.11007041,0.005943779,0.12757152,16.16098713874817,496.55556297302246
True,True,2,1,2,False,True,0.015536725,0.11584907,0.0062558255,0.13064176,13.949190855026245,486.11798191070557
True,True,2,1,2,False,False,0.015295268,0.11515735,0.006218473,0.13064046,13.61928129196167,541.7111022472382
True,True,2,1,6,True,True,0.017651388,0.12228498,0.006603363,0.12633023,13.954164028167725,543.2101709842682
True,True,2,1,6,True,False,0.016855735,0.11970579,0.0064640874,0.1305455,14.279709100723267,557.1310892105103
True,True,2,1,6,False,True,0.017215382,0.11978766,0.0064685084,0.12137264,14.699954986572266,554.7424058914185
True,True,2,1,6,False,False,0.016713543,0.11851327,0.0063996916,0.12902232,14.520177125930786,520.6584968566895
True,True,2,1,12,True,True,0.018482182,0.11903739,0.006427994,0.124429144,14.963912010192871,689.9614589214325
True,True,2,1,12,True,False,0.01965324,0.12447785,0.006721778,0.12859726,20.218080043792725,700.6800639629364
True,True,2,1,12,False,True,0.016564509,0.11144655,0.00601809,0.114877835,14.337907075881958,609.2673380374908
True,True,2,1,12,False,False,0.01866391,0.12138043,0.006554518,0.12909342,14.424293041229248,597.6146900653839
True,True,2,1,24,True,True,0.017629027,0.102786325,0.00555044,0.11225395,15.680927276611328,770.9921410083771
True,True,2,1,24,True,False,0.020376677,0.12255123,0.0066177407,0.12940657,15.608846187591553,696.6046719551086
True,True,2,1,24,False,True,0.013949812,0.08713376,0.0047052046,0.09873248,14.457541227340698,743.1257121562958
True,True,2,1,24,False,False,0.019263871,0.11777072,0.006359594,0.12213721,14.458218097686768,710.0451889038086
False,True,2,1,1,True,True,0.013733276,0.11560528,0.006242661,0.13782214,14.352826833724976,444.8517801761627
False,True,2,1,1,True,False,0.012102237,0.10834437,0.005850573,0.13155046,20.83670973777771,425.9926047325134
False,True,2,1,1,False,True,0.014263898,0.118145466,0.00637983,0.13914973,15.087018966674805,530.9718399047852
False,True,2,1,1,False,False,0.012855487,0.11233103,0.006065852,0.13699237,14.614021062850952,444.0743610858917
False,True,2,1,2,True,True,0.0135601945,0.115755394,0.006250767,0.13875395,13.781128883361816,459.7566108703613
False,True,2,1,2,True,False,0.012700454,0.10992275,0.0059358054,0.13257185,13.542527914047241,444.99738478660583
False,True,2,1,2,False,True,0.014637536,0.11997023,0.0064783674,0.13521212,13.359741926193237,459.9656009674072
False,True,2,1,2,False,False,0.013577428,0.115520574,0.0062380866,0.13544951,13.397270917892456,447.7860929965973
False,True,2,1,6,True,True,0.017104246,0.12708642,0.0068626394,0.13961472,14.76725697517395,529.3540909290314
False,True,2,1,6,True,False,0.016124329,0.12292872,0.006638125,0.13858052,14.37519097328186,586.3067438602448
False,True,2,1,6,False,True,0.01596799,0.11288264,0.0060956385,0.11744545,18.148298978805542,614.8727197647095
False,True,2,1,6,False,False,0.01544804,0.112293206,0.0060638096,0.11926121,15.25030517578125,555.3027758598328
False,True,2,1,12,True,True,0.018269021,0.1158668,0.006256783,0.11810104,16.631052017211914,623.1171481609344
False,True,2,1,12,True,False,0.01888507,0.11937128,0.006446024,0.12587483,18.75948190689087,565.3192439079285
False,True,2,1,12,False,True,0.015793793,0.10319402,0.0055724555,0.10683689,15.296502113342285,649.2046511173248
False,True,2,1,12,False,False,0.017234122,0.111367956,0.006013846,0.11422904,16.44414710998535,589.7093410491943
False,True,2,1,24,True,True,0.017684586,0.10023496,0.005412667,0.10630435,20.01745319366455,719.0085580348969
False,True,2,1,24,True,False,0.019904807,0.113330096,0.006119801,0.117431335,16.95975399017334,627.5474870204926
False,True,2,1,24,False,True,0.01379488,0.076899044,0.004152532,0.08497752,16.586992025375366,666.7547609806061
False,True,2,1,24,False,False,0.018154703,0.10174917,0.0054944335,0.10512458,17.109894037246704,727.4367249011993
