include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,139.27173,0.09478763,53.091503,inf,46.04846000671387,329.4595720767975
True,True,1,1,1,True,False,139.65494,0.09421244,52.769333,inf,44.26447606086731,260.47055101394653
True,True,1,1,1,False,True,147.13322,0.09623592,53.902706,inf,41.51107096672058,240.84163665771484
True,True,1,1,1,False,False,140.41089,0.09446619,52.911457,inf,38.69109296798706,268.8359079360962
True,True,1,1,2,True,True,138.12874,0.09418025,52.7513,inf,38.804890632629395,305.04252767562866
True,True,1,1,2,True,False,137.77327,0.09425423,52.79274,inf,39.860291957855225,241.10675406455994
True,True,1,1,2,False,True,137.69398,0.09420984,52.76788,inf,38.80746507644653,228.86551427841187
True,True,1,1,2,False,False,138.8416,0.09442788,52.890003,inf,37.57417011260986,247.8375735282898
True,True,1,1,6,True,True,136.11034,0.09411399,52.71419,inf,40.2979953289032,232.94694781303406
True,True,1,1,6,True,False,134.48492,0.0937374,52.503258,inf,38.72738218307495,212.40598845481873
True,True,1,1,6,False,True,138.08702,0.0938207,52.549915,inf,38.524019718170166,222.84588432312012
True,True,1,1,6,False,False,137.31215,0.093215205,52.210773,inf,37.6375629901886,209.46615076065063
True,True,1,1,12,True,True,138.22157,0.0942326,52.780624,inf,39.21248698234558,238.82485508918762
True,True,1,1,12,True,False,133.7104,0.092906974,52.038128,inf,41.1718270778656,225.8360619544983
True,True,1,1,12,False,True,128.08488,0.091137946,51.04728,inf,39.03257632255554,224.35326600074768
True,True,1,1,12,False,False,133.9132,0.090831354,50.875553,inf,38.56200122833252,227.92431545257568
True,True,1,1,24,True,True,131.85715,0.091786966,51.4108,inf,40.908836126327515,253.93676567077637
True,True,1,1,24,True,False,129.86607,0.09150978,51.255547,inf,40.4993691444397,262.6091618537903
True,True,1,1,24,False,True,127.5822,0.089769,50.280518,inf,39.76818513870239,271.17450165748596
True,True,1,1,24,False,False,130.83823,0.09029302,50.574028,inf,39.211671352386475,266.6123902797699
False,True,1,1,1,True,True,144.36827,0.10585892,59.292645,inf,37.9156334400177,192.80980563163757
False,True,1,1,1,True,False,135.99193,0.103661254,58.061707,inf,38.27414107322693,178.28276896476746
False,True,1,1,1,False,True,144.18213,0.10570629,59.207153,inf,38.70328164100647,179.2887077331543
False,True,1,1,1,False,False,144.1964,0.106388934,59.589508,inf,37.82820916175842,177.13596081733704
False,True,1,1,2,True,True,144.84322,0.10512033,58.878956,inf,38.78348231315613,198.44375729560852
False,True,1,1,2,True,False,138.3337,0.10445974,58.50895,inf,38.80086302757263,176.39200258255005
False,True,1,1,2,False,True,146.11151,0.105862245,59.294506,inf,38.63289546966553,182.30239057540894
False,True,1,1,2,False,False,141.92159,0.10472483,58.65743,inf,38.18971085548401,192.02401208877563
False,True,1,1,6,True,True,146.95714,0.10531186,58.98623,inf,40.58785963058472,205.1304383277893
False,True,1,1,6,True,False,145.68105,0.104856476,58.731167,inf,39.857884883880615,200.4313247203827
False,True,1,1,6,False,True,148.1618,0.10587981,59.304348,inf,40.11246943473816,201.75216269493103
False,True,1,1,6,False,False,145.08475,0.105133876,58.88654,inf,39.75031495094299,202.22770810127258
False,True,1,1,12,True,True,152.50098,0.10536235,59.014507,inf,43.215646505355835,224.03790426254272
False,True,1,1,12,True,False,149.4435,0.10496112,58.789776,inf,42.776267766952515,234.56369185447693
False,True,1,1,12,False,True,145.32474,0.10294975,57.663193,inf,42.007118701934814,200.72876644134521
False,True,1,1,12,False,False,146.65215,0.103365675,57.896152,inf,41.8150634765625,214.6012041568756
False,True,1,1,24,True,True,150.20227,0.102851115,57.60794,inf,50.3177969455719,245.1849889755249
False,True,1,1,24,True,False,150.15088,0.10358839,58.020897,inf,49.001224994659424,275.62816882133484
False,True,1,1,24,False,True,136.49748,0.099190794,55.55776,inf,48.368696451187134,280.9772198200226
False,True,1,1,24,False,False,141.81674,0.10070991,56.40863,inf,47.04119277000427,250.2209131717682
