include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,0.019591821,0.015738314,0.01176406,0.0474117,0.7470440864562988,6.431457042694092
True,True,1,1,1,True,False,0.01950821,0.015675945,0.01171744,0.047330268,0.7748289108276367,6.358363151550293
True,True,1,1,1,False,True,0.019192632,0.015595352,0.011657198,0.0477441,0.7370719909667969,6.3436830043792725
True,True,1,1,1,False,False,0.019097317,0.015538119,0.011614418,0.047630884,0.8712031841278076,6.419079303741455
True,True,1,1,2,True,True,0.019586306,0.015783185,0.0117975995,0.04739415,0.8142693042755127,6.42835807800293
True,True,1,1,2,True,False,0.019600686,0.015738225,0.011763993,0.047399048,0.797921895980835,6.363409042358398
True,True,1,1,2,False,True,0.018781135,0.015375028,0.011492511,0.047627475,0.8009791374206543,6.80933403968811
True,True,1,1,2,False,False,0.018759102,0.015317169,0.0114492625,0.047622487,0.7548041343688965,7.23906683921814
True,True,1,1,6,True,True,0.01957935,0.0157275,0.011755975,0.047222327,1.3489549160003662,7.75060510635376
True,True,1,1,6,True,False,0.019536244,0.015705857,0.011739799,0.04724042,0.8561651706695557,9.072268009185791
True,True,1,1,6,False,True,0.018385787,0.015120626,0.011302351,0.047592603,1.0190842151641846,10.534978866577148
True,True,1,1,6,False,False,0.01838401,0.015107614,0.011292624,0.047368117,1.03761887550354,8.557084798812866
True,True,1,1,12,True,True,0.019548774,0.015790176,0.011802824,0.047605176,0.9574599266052246,8.525897979736328
True,True,1,1,12,True,False,0.019560691,0.015730312,0.011758079,0.0474755,1.2132232189178467,10.28601598739624
True,True,1,1,12,False,True,0.018693028,0.015380876,0.011496882,0.047899194,0.8591387271881104,9.228533029556274
True,True,1,1,12,False,False,0.018639335,0.015286768,0.011426538,0.047805022,0.9787468910217285,7.813882827758789
True,True,1,1,24,True,True,0.019599343,0.015719742,0.0117501775,0.04710902,1.2532169818878174,10.357611894607544
True,True,1,1,24,True,False,0.019556351,0.015717488,0.011748492,0.04706976,1.0612571239471436,10.068676948547363
True,True,1,1,24,False,True,0.018968849,0.015418909,0.011525311,0.047881648,0.8524811267852783,9.873572826385498
True,True,1,1,24,False,False,0.01897142,0.015415981,0.011523122,0.04771572,0.8712761402130127,11.201555013656616
False,True,1,1,1,True,True,0.019616101,0.015719442,0.011749953,0.047189422,0.954028844833374,7.5110087394714355
False,True,1,1,1,True,False,0.019588655,0.01572581,0.011754713,0.04756757,0.8933649063110352,8.111570835113525
False,True,1,1,1,False,True,0.019196142,0.0155735025,0.011640866,0.04763245,1.242020845413208,7.260737180709839
False,True,1,1,1,False,False,0.019149562,0.01556237,0.011632545,0.047538333,0.8706269264221191,6.689026117324829
False,True,1,1,2,True,True,0.019608365,0.015688423,0.011726767,0.047219645,0.8198587894439697,7.592644691467285
False,True,1,1,2,True,False,0.019612052,0.015709024,0.011742166,0.047176685,0.9304511547088623,7.440935134887695
False,True,1,1,2,False,True,0.018735727,0.015268814,0.011413118,0.047238544,0.8690581321716309,8.235620260238647
False,True,1,1,2,False,False,0.018741101,0.015269222,0.011413423,0.047242932,0.9505958557128906,8.377065896987915
False,True,1,1,6,True,True,0.019634023,0.015727181,0.011755738,0.047363024,1.007235050201416,9.238791227340698
False,True,1,1,6,True,False,0.019540723,0.015653584,0.011700725,0.04719539,0.9598619937896729,9.313755750656128
False,True,1,1,6,False,True,0.018404307,0.015116322,0.011299133,0.04733738,1.275284767150879,7.2960968017578125
False,True,1,1,6,False,False,0.0183312,0.015043507,0.011244706,0.04687442,0.7896678447723389,7.270486831665039
False,True,1,1,12,True,True,0.019664414,0.015810968,0.011818367,0.047300447,0.9208590984344482,7.543927192687988
False,True,1,1,12,True,False,0.019607285,0.015710244,0.011743078,0.0473508,0.9492359161376953,8.624305963516235
False,True,1,1,12,False,True,0.01872785,0.0153969,0.01150886,0.047578182,0.9515578746795654,8.527853012084961
False,True,1,1,12,False,False,0.018713832,0.015302197,0.011438071,0.047402,0.8558249473571777,7.886645078659058
False,True,1,1,24,True,True,0.019595243,0.015723072,0.011752667,0.047165286,1.1242930889129639,9.35544204711914
False,True,1,1,24,True,False,0.019623546,0.0157268,0.0117554525,0.0471812,1.2396671772003174,10.718791007995605
False,True,1,1,24,False,True,0.01898832,0.01543621,0.011538243,0.047514606,0.9722409248352051,8.901808738708496
False,True,1,1,24,False,False,0.01890753,0.015359333,0.011480778,0.047583006,1.530104160308838,10.942331075668335
