include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,5.1913996,0.047983956,2.7959585,0.068341196,45.990480184555054,189.71494793891907
True,True,1,1,1,True,False,5.193112,0.04802336,2.7982545,0.0685058,48.13333487510681,187.70089387893677
True,True,1,1,1,False,True,5.18155,0.047874242,2.7895656,0.06815195,50.326974868774414,210.91222977638245
True,True,1,1,1,False,False,5.180946,0.047892805,2.790647,0.06826229,44.19804906845093,170.00427389144897
True,True,1,1,2,True,True,5.181882,0.047897026,2.7908933,0.06818778,42.43255281448364,166.54766583442688
True,True,1,1,2,True,False,5.190992,0.047967948,2.7950258,0.068360336,41.727174282073975,163.55389308929443
True,True,1,1,2,False,True,5.173219,0.047816984,2.7862294,0.06804343,42.8578941822052,183.42210030555725
True,True,1,1,2,False,False,5.179538,0.047840048,2.787573,0.06806106,42.87893199920654,180.31352996826172
True,True,1,1,3,True,True,5.1787868,0.047843374,2.787767,0.06802479,43.21791124343872,183.56537103652954
True,True,1,1,3,True,False,5.1830864,0.047914207,2.7918942,0.06819654,44.31502175331116,171.22165894508362
True,True,1,1,3,False,True,5.165959,0.047712374,2.7801337,0.0678292,42.283732175827026,168.6351180076599
True,True,1,1,3,False,False,5.170622,0.04777398,2.7837236,0.067947395,42.56795072555542,170.26958584785461
True,True,1,1,5,True,True,5.1749325,0.047829494,2.7869582,0.068024784,44.22541880607605,179.7590479850769
True,True,1,1,5,True,False,5.1853266,0.047953617,2.7941906,0.06832334,42.879573345184326,175.87132120132446
True,True,1,1,5,False,True,5.157636,0.04767389,2.7778914,0.067850105,42.11752104759216,171.54460501670837
True,True,1,1,5,False,False,5.165209,0.04773246,2.7813041,0.06792612,42.200790882110596,171.6798219680786
True,True,1,1,9,True,True,5.1769414,0.04785179,2.7882574,0.06812834,43.08069109916687,191.10895609855652
True,True,1,1,9,True,False,5.1815453,0.047896434,2.7908585,0.06815424,42.137861013412476,185.38938117027283
True,True,1,1,9,False,True,5.155705,0.04767961,2.7782247,0.067767695,42.03145909309387,181.69451379776
True,True,1,1,9,False,False,5.1625695,0.04769469,2.7791035,0.067805,41.533304929733276,179.7178270816803
False,True,1,1,1,True,True,5.604573,0.051231988,2.9852169,0.07397729,42.04655408859253,147.02839303016663
False,True,1,1,1,True,False,5.6102047,0.05120971,2.983919,0.07417496,41.804807901382446,143.78667306900024
False,True,1,1,1,False,True,5.596283,0.05113366,2.9794874,0.07374578,42.2826406955719,149.94378876686096
False,True,1,1,1,False,False,5.601617,0.051098306,2.9774275,0.07387774,41.76158809661865,146.0422239303589
False,True,1,1,2,True,True,5.596675,0.051131207,2.9793446,0.0737836,42.819725036621094,154.39661693572998
False,True,1,1,2,True,False,5.6056433,0.051168934,2.9815428,0.07407727,42.2931649684906,150.50000596046448
False,True,1,1,2,False,True,5.588194,0.051034156,2.9736893,0.07358483,41.836357831954956,152.75639390945435
False,True,1,1,2,False,False,5.596718,0.05106063,2.975232,0.07378065,42.0397002696991,161.16539120674133
False,True,1,1,3,True,True,5.5913763,0.051075373,2.9760911,0.073690504,45.746803998947144,169.5851547718048
False,True,1,1,3,True,False,5.6034617,0.051151093,2.980503,0.07404053,45.77974724769592,170.57673716545105
False,True,1,1,3,False,True,5.578704,0.050952982,2.9689596,0.073418744,44.569825887680054,165.6336579322815
False,True,1,1,3,False,False,5.590163,0.051002007,2.971816,0.07365564,44.12296986579895,161.19655179977417
False,True,1,1,5,True,True,5.5852146,0.050992403,2.9712565,0.07355859,43.607919216156006,176.60935807228088
False,True,1,1,5,True,False,5.6000323,0.051121052,2.9787526,0.07399262,42.95960092544556,163.9667239189148
False,True,1,1,5,False,True,5.5671763,0.05083464,2.962064,0.07320556,44.047629833221436,166.38702201843262
False,True,1,1,5,False,False,5.5839505,0.05095526,2.9690921,0.07352697,44.27864980697632,163.2463059425354
False,True,1,1,9,True,True,5.5807676,0.050959535,2.9693413,0.07351973,44.71594214439392,175.8858470916748
False,True,1,1,9,True,False,5.5955915,0.051082842,2.9765263,0.07391478,44.514373779296875,172.93125295639038
False,True,1,1,9,False,True,5.556815,0.050753023,2.957308,0.07303161,42.34711408615112,165.48010301589966
False,True,1,1,9,False,False,5.5749125,0.050877847,2.9645815,0.07334542,41.94464898109436,157.68465995788574
