include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,0.015334084,0.11499544,0.0062097297,0.12800166,15.37881875038147,681.6774909496307
True,True,1,1,1,True,False,0.014316841,0.11023485,0.0059526586,0.1260638,16.939291954040527,652.197760105133
True,True,1,1,1,False,True,0.015324744,0.11605836,0.0062671266,0.13495982,17.02056908607483,2483.843090057373
True,True,1,1,1,False,False,0.014685251,0.11389315,0.006150206,0.13050385,911.0349729061127,6911.78241610527
True,True,1,1,2,True,True,0.01517349,0.11490418,0.0062048016,0.12908593,13.073696851730347,4271.505867958069
True,True,1,1,2,True,False,0.014356757,0.10964586,0.005920853,0.12615958,13.202794790267944,3107.666911840439
True,True,1,1,2,False,True,0.015010215,0.1171373,0.0063253893,0.13075142,946.047248840332,4610.252063989639
True,True,1,1,2,False,False,0.015028084,0.114967704,0.0062082317,0.13207804,13.189335107803345,2254.843290090561
True,True,1,1,6,True,True,0.017243186,0.120686695,0.006517056,0.12630667,13.93803095817566,520.5111320018768
True,True,1,1,6,True,False,0.01682797,0.1180616,0.0063753016,0.12605795,13.488012790679932,502.0465397834778
True,True,1,1,6,False,True,0.01577583,0.113463484,0.006127004,0.11221252,13.87867021560669,518.551784992218
True,True,1,1,6,False,False,0.0155410655,0.11420912,0.0061672684,0.12261696,14.070477962493896,520.6994957923889
True,True,1,1,12,True,True,0.01845664,0.11921453,0.0064375596,0.12198457,14.25387692451477,603.1235718727112
True,True,1,1,12,True,False,0.019795436,0.12276494,0.0066292807,0.125715,14.187637329101562,599.3264000415802
True,True,1,1,12,False,True,0.014722905,0.10073109,0.0054394575,0.10003726,14.072487115859985,610.7488951683044
True,True,1,1,12,False,False,0.017233953,0.11148344,0.006020082,0.112063386,14.542433023452759,602.8795602321625
True,True,1,1,24,True,True,0.016944911,0.09870321,0.0053299526,0.107972264,15.208923816680908,700.9840528964996
True,True,1,1,24,True,False,0.020659547,0.11905238,0.0064288033,0.12507355,15.752490997314453,653.6853950023651
True,True,1,1,24,False,True,0.009312745,0.062083997,0.0033525226,0.07068771,14.88787293434143,674.3499507904053
True,True,1,1,24,False,False,0.018277124,0.10571722,0.0057087075,0.106407866,14.097069025039673,624.0622498989105
False,True,1,1,1,True,True,0.013733276,0.11560528,0.006242661,0.13782214,13.545021772384644,438.3237178325653
False,True,1,1,1,True,False,0.012102237,0.10834437,0.005850573,0.13155046,13.66167402267456,411.54505491256714
False,True,1,1,1,False,True,0.014477341,0.11855898,0.00640216,0.14258221,13.201341152191162,432.39817118644714
False,True,1,1,1,False,False,0.013064294,0.11345222,0.006126396,0.1355681,13.22340989112854,425.0830419063568
False,True,1,1,2,True,True,0.013713915,0.11544184,0.006233835,0.13740508,14.433534145355225,480.9188461303711
False,True,1,1,2,True,False,0.012466286,0.108195715,0.005842546,0.13179703,13.943541049957275,452.57190227508545
False,True,1,1,2,False,True,0.014428456,0.11826526,0.0063862987,0.13376167,15.888156175613403,489.2648301124573
False,True,1,1,2,False,False,0.013687226,0.11666761,0.0063000266,0.13632943,15.466109037399292,466.62598609924316
False,True,1,1,6,True,True,0.016682422,0.11930589,0.006442493,0.12733522,14.46097993850708,527.3735918998718
False,True,1,1,6,True,False,0.016431546,0.11748491,0.0063441605,0.12711824,14.250830888748169,504.5456190109253
False,True,1,1,6,False,True,0.01581004,0.10943589,0.005909515,0.102003664,16.393773078918457,530.1663150787354
False,True,1,1,6,False,False,0.014359031,0.107399516,0.0057995515,0.11128049,14.58528184890747,493.07806301116943
False,True,1,1,12,True,True,0.018482417,0.114356354,0.0061752186,0.11619603,14.961487054824829,527.0461008548737
False,True,1,1,12,True,False,0.019309621,0.11706731,0.00632161,0.120439276,14.436177015304565,497.71942615509033
False,True,1,1,12,False,True,0.013445765,0.085031174,0.004591665,0.07909567,14.437546968460083,560.0899498462677
False,True,1,1,12,False,False,0.015362077,0.098714,0.005330535,0.099310696,14.770987749099731,514.4935247898102
False,True,1,1,24,True,True,0.01663325,0.08893725,0.004802593,0.09906598,16.26668620109558,677.4742560386658
False,True,1,1,24,True,False,0.020198686,0.107938,0.0058286292,0.11357169,16.681822299957275,636.8358390331268
False,True,1,1,24,False,True,0.007846516,0.03693746,0.0019946152,0.040575065,15.98072075843811,634.1862096786499
False,True,1,1,24,False,False,0.01598456,0.07880075,0.004255224,0.07824339,15.985547065734863,606.45130610466
